"ID_COMMUNE","CODE_COMMUNE","NOM","CODE_POSTAL","PAYS"
281,"1310","Prémeyzel","1300",1
282,"1311","Prémillieu","1110",1
283,"1313","Prévessin-Moëns","1280",1
284,"1314","Priay","1160",1
285,"1316","Pugieu","1510",1
286,"1317","Ramasse","1250",1
287,"1318","Rancé","1390",1
288,"1319","Relevant","1990",1
289,"1320","Replonges","1750",1
290,"1321","Revonnas","1250",1
291,"1322","Reyrieux","1600",1
292,"1323","Reyssouze","1190",1
293,"1325","Rignieux-le-Franc","1800",1
294,"1328","Romans","1400",1
295,"1329","Rossillon","1510",1
296,"1330","Ruffieu","1260",1
297,"1331","Saint-Alban","1450",1
298,"1332","Saint-André-de-Bâgé","1380",1
299,"1333","Saint-André-de-Corcy","1390",1
300,"1334","Saint-André-d'Huiriat","1290",1
301,"1335","Saint-André-le-Bouchoux","1240",1
302,"1336","Saint-André-sur-Vieux-Jonc","1960",1
303,"1337","Saint-Bénigne","1190",1
304,"1338","Groslée-Saint-Benoit","1300",1
305,"1338","Groslée-Saint-Benoit","1680",1
306,"1339","Saint-Bernard","1600",1
307,"1341","Saint-Champ","1300",1
308,"1342","Sainte-Croix","1120",1
309,"1343","Saint-Cyr-sur-Menthon","1380",1
310,"1344","Saint-Denis-lès-Bourg","1000",1
311,"1345","Saint-Denis-en-Bugey","1500",1
312,"1346","Saint-Didier-d'Aussiat","1340",1
313,"1347","Saint-Didier-de-Formans","1600",1
314,"1348","Saint-Didier-sur-Chalaronne","1140",1
315,"1349","Saint-Éloi","1800",1
316,"1350","Saint-Étienne-du-Bois","1370",1
317,"1351","Saint-Étienne-sur-Chalaronne","1140",1
318,"1352","Saint-Étienne-sur-Reyssouze","1190",1
319,"1353","Sainte-Euphémie","1600",1
320,"1354","Saint-Genis-Pouilly","1630",1
321,"1355","Saint-Genis-sur-Menthon","1380",1
322,"1356","Saint-Georges-sur-Renon","1400",1
323,"1357","Saint-Germain-de-Joux","1130",1
324,"1358","Saint-Germain-les-Paroisses","1300",1
325,"1359","Saint-Germain-sur-Renon","1240",1
326,"1360","Saint-Jean-de-Gonville","1630",1
327,"1361","Saint-Jean-de-Niost","1800",1
328,"1362","Saint-Jean-de-Thurigneux","1390",1
329,"1363","Saint-Jean-le-Vieux","1640",1
330,"1364","Saint-Jean-sur-Reyssouze","1560",1
331,"1365","Saint-Jean-sur-Veyle","1290",1
332,"1366","Sainte-Julie","1150",1
333,"1367","Saint-Julien-sur-Reyssouze","1560",1
334,"1368","Saint-Julien-sur-Veyle","1540",1
335,"1369","Saint-Just","1250",1
336,"1370","Saint-Laurent-sur-Saône","1750",1
337,"1371","Saint-Marcel","1390",1
338,"1372","Saint-Martin-de-Bavel","1510",1
339,"1373","Saint-Martin-du-Frêne","1430",1
